,Most Popular Outlet,Cluster Labels
0,Pizza Place,0
1,Restaurant,1
2,Greek Restaurant,2
3,Café,3
4,Bakery,4
5,Japanese Restaurant,5
6,Café,6
7,Café,7
8,Café,8
9,Pizza Place,9
